"index";"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
Monstra R 38;8.1;0.38;0.28;2.1;0.066;13;30;0.9968;3.23;0.73;9.7;7
Monstra R 39;5.7;1.13;0.09;1.5;0.172;7;19;0.994;3.5;0.48;9.8;4
Monstra R 40;7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5;5
Monstra R 41;7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5;5
Monstra R 42;8.8;0.61;0.3;2.8;0.088;17;46;0.9976;3.26;0.51;9.3;4
Monstra R 43;7.5;0.49;0.2;2.6;0.332;8;14;0.9968;3.21;0.9;10.5;6
Monstra R 44;8.1;0.66;0.22;2.2;0.069;9;23;0.9968;3.3;1.2;10.3;5
Monstra R 45;6.8;0.67;0.02;1.8;0.05;5;11;0.9962;3.48;0.52;9.5;5
Monstra R 46;4.6;0.52;0.15;2.1;0.054;8;65;0.9934;3.9;0.56;13.1;4
Monstra R 47;7.7;0.935;0.43;2.2;0.114;22;114;0.997;3.25;0.73;9.2;5
Monstra R 48;8.7;0.29;0.52;1.6;0.113;12;37;0.9969;3.25;0.58;9.5;5
Monstra R 49;6.4;0.4;0.23;1.6;0.066;5;12;0.9958;3.34;0.56;9.2;5
Monstra R 50;5.6;0.31;0.37;1.4;0.074;12;96;0.9954;3.32;0.58;9.2;5
Monstra W 1;7;0.27;0.36;20.7;0.045;45;170;1.001;3;0.45;8.8;6
Monstra W 2;6.3;0.3;0.34;1.6;0.049;14;132;0.994;3.3;0.49;9.5;6
Monstra W 3;8.1;0.28;0.4;6.9;0.05;30;97;0.9951;3.26;0.44;10.1;6
Monstra W 4;7.2;0.23;0.32;8.5;0.058;47;186;0.9956;3.19;0.4;9.9;6
Monstra W 5;7.2;0.23;0.32;8.5;0.058;47;186;0.9956;3.19;0.4;9.9;6
Monstra W 6;8.1;0.28;0.4;6.9;0.05;30;97;0.9951;3.26;0.44;10.1;6
Monstra W 7;6.2;0.32;0.16;7;0.045;30;136;0.9949;3.18;0.47;9.6;6
Monstra W 8;7;0.27;0.36;20.7;0.045;45;170;1.001;3;0.45;8.8;6
Monstra W 9;6.3;0.3;0.34;1.6;0.049;14;132;0.994;3.3;0.49;9.5;6
Monstra W 10;8.1;0.22;0.43;1.5;0.044;28;129;0.9938;3.22;0.45;11;6
Monstra W 11;8.1;0.27;0.41;1.45;0.033;11;63;0.9908;2.99;0.56;12;5
Monstra W 12;8.6;0.23;0.4;4.2;0.035;17;109;0.9947;3.14;0.53;9.7;5
Monstra W 13;7.9;0.18;0.37;1.2;0.04;16;75;0.992;3.18;0.63;10.8;5
Monstra W 14;6.6;0.16;0.4;1.5;0.044;48;143;0.9912;3.54;0.52;12.4;7
Monstra W 15;8.3;0.42;0.62;19.25;0.04;41;172;1.0002;2.98;0.67;9.7;5
Monstra W 16;6.6;0.17;0.38;1.5;0.032;28;112;0.9914;3.25;0.55;11.4;7
Monstra W 17;6.3;0.48;0.04;1.1;0.046;30;99;0.9928;3.24;0.36;9.6;6
Monstra W 18;6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
Monstra W 19;7.4;0.34;0.42;1.1;0.033;17;171;0.9917;3.12;0.53;11.3;6
Monstra W 20;6.5;0.31;0.14;7.5;0.044;34;133;0.9955;3.22;0.5;9.5;5
Monstra W 21;6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
Monstra W 22;6.4;0.31;0.38;2.9;0.038;19;102;0.9912;3.17;0.35;11;7
Monstra W 23;6.8;0.26;0.42;1.7;0.049;41;122;0.993;3.47;0.48;10.5;8
Monstra W 24;7.6;0.67;0.14;1.5;0.074;25;168;0.9937;3.05;0.51;9.3;5
Monstra W 25;6.6;0.27;0.41;1.3;0.052;16;142;0.9951;3.42;0.47;10;6
Monstra W 26;7;0.25;0.32;9;0.046;56;245;0.9955;3.25;0.5;10.4;6
Monstra W 27;6.9;0.24;0.35;1;0.052;35;146;0.993;3.45;0.44;10;6
Monstra W 28;7;0.28;0.39;8.7;0.051;32;141;0.9961;3.38;0.53;10.5;6
Monstra W 29;7.4;0.27;0.48;1.1;0.047;17;132;0.9914;3.19;0.49;11.6;6
Monstra W 30;7.2;0.32;0.36;2;0.033;37;114;0.9906;3.1;0.71;12.3;7
Monstra W 31;8.5;0.24;0.39;10.4;0.044;20;142;0.9974;3.2;0.53;10;6
Monstra W 32;8.3;0.14;0.34;1.1;0.042;7;47;0.9934;3.47;0.4;10.2;6


